;cylinders;displacement;horsepower;weight;acceleration;model year;origin
64;8;318.0;150;4135;13.5;72;1
55;4;97.0;60;1834;19.0;71;2
317;4;97.0;78;2188;15.8;80;2
102;4;97.0;46;1950;21.0;73;2
358;4;120.0;74;2635;18.3;81;3
331;4;97.0;67;2145;18.0;80;3
371;4;135.0;84;2525;16.0;82;1
261;6;258.0;120;3410;15.1;78;1
299;4;141.0;71;3190;24.8;79;2
378;4;105.0;63;2125;14.7;82;1
56;4;91.0;70;1955;20.5;71;1
8;8;455.0;225;4425;10.0;70;1
241;6;146.0;97;2815;14.5;77;3
144;4;76.0;52;1649;16.5;74;3
327;5;121.0;67;2950;19.9;80;2
286;8;302.0;129;3725;13.4;79;1
263;6;231.0;165;3445;13.4;78;1
146;4;90.0;75;2125;14.5;74;1
259;6;200.0;85;3070;16.7;78;1
63;8;400.0;175;4385;12.0;72;1
254;6;200.0;85;2965;15.8;78;1
246;4;78.0;52;1985;19.4;78;3
282;4;140.0;88;2890;17.3;79;1
81;4;97.0;92;2288;17.0;72;3
347;4;85.0;65;1975;19.4;81;3
392;4;151.0;90;2950;17.3;82;1
271;4;156.0;105;2745;16.7;78;1
96;8;360.0;175;3821;11.0;73;1
89;8;318.0;150;3777;12.5;73;1
179;4;121.0;98;2945;14.5;75;2
21;4;107.0;90;2430;14.5;70;2
175;4;90.0;70;1937;14.0;75;2
214;8;302.0;130;3870;15.0;76;1
303;4;85.0;65;2020;19.2;79;3
49;4;122.0;86;2220;14.0;71;1
236;4;140.0;89;2755;15.8;77;1
352;4;98.0;65;2380;20.7;81;1
92;8;351.0;158;4363;13.0;73;1
221;8;305.0;145;3880;12.5;77;1
322;4;86.0;65;2110;17.9;80;3
230;8;350.0;170;4165;11.4;77;1
357;4;119.0;100;2615;14.8;81;3
140;8;304.0;150;4257;15.5;74;1
22;4;104.0;95;2375;17.5;70;2
250;8;318.0;140;3735;13.2;78;1
155;6;250.0;72;3158;19.5;75;1
356;4;108.0;75;2350;16.8;81;3
216;4;98.0;68;2045;18.5;77;3
186;4;101.0;83;2202;15.3;76;2
281;6;200.0;85;2990;18.2;79;1
66;8;304.0;150;3672;11.5;72;1
238;4;98.0;83;2075;15.9;77;1
164;6;231.0;110;3039;15.0;75;1
101;6;198.0;95;2904;16.0;73;1
310;4;89.0;60;1968;18.8;80;3
394;4;97.0;52;2130;24.6;82;2
324;4;85.0;65;2110;19.2;80;3
17;6;200.0;85;2587;16.0;70;1
233;4;97.0;78;1940;14.5;77;2
225;6;250.0;110;3520;16.4;77;1
30;4;140.0;90;2264;15.5;71;1
114;4;98.0;90;2265;15.5;73;2
150;4;108.0;93;2391;15.5;74;3
103;8;400.0;150;4997;14.0;73;1
348;4;89.0;62;2050;17.3;81;3
362;6;146.0;120;2930;13.8;81;3
158;8;318.0;150;4498;14.5;75;1
116;8;400.0;230;4278;9.5;73;1
328;4;146.0;67;3250;21.8;80;2
120;4;121.0;112;2868;15.5;73;2
393;4;140.0;86;2790;15.6;82;1
112;4;122.0;85;2310;18.5;73;1
229;8;400.0;180;4220;11.1;77;1
136;8;302.0;140;4141;14.0;74;1
274;5;131.0;103;2830;15.9;78;2
126;6;200.0;?;2875;17.0;74;1
308;4;151.0;90;2556;13.2;79;1
298;8;350.0;125;3900;17.4;79;1
280;6;231.0;115;3245;15.4;79;1
133;6;250.0;100;3781;17.0;74;1
33;6;232.0;100;2634;13.0;71;1
376;4;91.0;68;2025;18.2;82;3
