;cylinders;displacement;horsepower;weight;acceleration;model year;origin;mpg;model_pred
64;8;318.0;150;4135;13.5;72;1;15.0;14.189519081954074
55;4;97.0;60;1834;19.0;71;2;27.0;29.223792390462613
317;4;97.0;78;2188;15.8;80;2;34.3;33.28144732288101
102;4;97.0;46;1950;21.0;73;2;26.0;25.37020449263119
358;4;120.0;74;2635;18.3;81;3;31.6;32.12394719740682
331;4;97.0;67;2145;18.0;80;3;33.8;35.78030489165951
371;4;135.0;84;2525;16.0;82;1;29.0;29.155125073675613
261;6;258.0;120;3410;15.1;78;1;18.1;17.17740917037009
299;4;141.0;71;3190;24.8;79;2;27.2;26.12848668205099
378;4;105.0;63;2125;14.7;82;1;38.0;36.939850997460375
56;4;91.0;70;1955;20.5;71;1;26.0;27.17578173076064
8;8;455.0;225;4425;10.0;70;1;14.0;12.875720376180658
241;6;146.0;97;2815;14.5;77;3;22.0;23.028514515897406
144;4;76.0;52;1649;16.5;74;3;31.0;34.868259804755255
327;5;121.0;67;2950;19.9;80;2;36.4;36.39999999999991
286;8;302.0;129;3725;13.4;79;1;17.6;16.19521685210644
263;6;231.0;165;3445;13.4;78;1;17.7;16.28780339594245
146;4;90.0;75;2125;14.5;74;1;28.0;25.018254317946813
259;6;200.0;85;3070;16.7;78;1;20.8;21.373310485318097
63;8;400.0;175;4385;12.0;72;1;14.0;13.692278736924749
254;6;200.0;85;2965;15.8;78;1;20.2;21.92932013238141
246;4;78.0;52;1985;19.4;78;3;32.8;35.14560585423652
282;4;140.0;88;2890;17.3;79;1;22.3;25.193506128973432
81;4;97.0;92;2288;17.0;72;3;28.0;24.4376591594394
347;4;85.0;65;1975;19.4;81;3;37.0;37.495772494130144
392;4;151.0;90;2950;17.3;82;1;27.0;27.980905110142807
271;4;156.0;105;2745;16.7;78;1;23.2;23.633239737225303
96;8;360.0;175;3821;11.0;73;1;13.0;14.778220314407623
89;8;318.0;150;3777;12.5;73;1;15.0;14.672857663411056
179;4;121.0;98;2945;14.5;75;2;22.0;22.473731947459914
21;4;107.0;90;2430;14.5;70;2;24.0;24.57092535772319
175;4;90.0;70;1937;14.0;75;2;29.0;31.281771237841397
214;8;302.0;130;3870;15.0;76;1;13.0;14.26111302999405
303;4;85.0;65;2020;19.2;79;3;31.8;36.50192589156585
49;4;122.0;86;2220;14.0;71;1;23.0;23.343688680976413
236;4;140.0;89;2755;15.8;77;1;25.5;25.499999999999993
352;4;98.0;65;2380;20.7;81;1;29.9;33.010279549252544
92;8;351.0;158;4363;13.0;73;1;13.0;13.000000000000034
221;8;305.0;145;3880;12.5;77;1;17.5;17.242768607143397
322;4;86.0;65;2110;17.9;80;3;46.6;38.37574556919242
230;8;350.0;170;4165;11.4;77;1;15.5;17.244296389978434
357;4;119.0;100;2615;14.8;81;3;32.9;30.053835223507214
140;8;304.0;150;4257;15.5;74;1;14.0;13.418809384790732
22;4;104.0;95;2375;17.5;70;2;25.0;23.14342392954576
250;8;318.0;140;3735;13.2;78;1;19.4;19.49472598474724
155;6;250.0;72;3158;19.5;75;1;15.0;18.16277679022731
356;4;108.0;75;2350;16.8;81;3;32.4;32.02167028575597
216;4;98.0;68;2045;18.5;77;3;31.5;30.00525325955885
186;4;101.0;83;2202;15.3;76;2;27.0;30.250574657664338
281;6;200.0;85;2990;18.2;79;1;19.8;23.59116643451025
66;8;304.0;150;3672;11.5;72;1;17.0;16.105883406027207
238;4;98.0;83;2075;15.9;77;1;33.5;30.24942534233567
164;6;231.0;110;3039;15.0;75;1;21.0;18.76585516908051
101;6;198.0;95;2904;16.0;73;1;23.0;18.382645232787603
310;4;89.0;60;1968;18.8;80;3;38.1;36.544313104747424
394;4;97.0;52;2130;24.6;82;2;44.0;36.99535480468842
324;4;85.0;65;2110;19.2;80;3;40.8;38.02460990497493
17;6;200.0;85;2587;16.0;70;1;21.0;20.73180889111077
233;4;97.0;78;1940;14.5;77;2;29.0;30.047196086866954
225;6;250.0;110;3520;16.4;77;1;17.5;18.251926072801865
30;4;140.0;90;2264;15.5;71;1;28.0;23.335907708537736
114;4;98.0;90;2265;15.5;73;2;26.0;24.008743198824938
150;4;108.0;93;2391;15.5;74;3;26.0;26.000000000000036
103;8;400.0;150;4997;14.0;73;1;11.0;10.65389804790243
348;4;89.0;62;2050;17.3;81;3;37.7;33.406595297542744
362;6;146.0;120;2930;13.8;81;3;24.2;25.155324765460886
158;8;318.0;150;4498;14.5;75;1;16.0;13.593301438483389
116;8;400.0;230;4278;9.5;73;1;16.0;16.000000000000064
328;4;146.0;67;3250;21.8;80;2;30.0;30.132187610714304
120;4;121.0;112;2868;15.5;73;2;19.0;17.70646243604394
393;4;140.0;86;2790;15.6;82;1;27.0;28.390631554198194
112;4;122.0;85;2310;18.5;73;1;19.0;21.323487482349897
229;8;400.0;180;4220;11.1;77;1;16.0;16.153435860176778
136;8;302.0;140;4141;14.0;74;1;16.0;16.002027050650483
274;5;131.0;103;2830;15.9;78;2;20.3;20.299999999999983
126;6;200.0;?;2875;17.0;74;1;21.0;19.78102761564445
308;4;151.0;90;2556;13.2;79;1;33.5;27.624777628479727
298;8;350.0;125;3900;17.4;79;1;23.0;19.1035382202043
280;6;231.0;115;3245;15.4;79;1;21.5;23.10214888613735
133;6;250.0;100;3781;17.0;74;1;16.0;16.48661430381452
33;6;232.0;100;2634;13.0;71;1;19.0;20.8911107208586
376;4;91.0;68;2025;18.2;82;3;37.0;35.314960596552844
162;6;258.0;110;3730;19.0;75;1;15.0;15.633622503908157
34;6;225.0;105;3439;15.5;71;1;16.0;18.51125779843363
388;4;156.0;92;2585;14.5;82;1;26.0;28.53326176945535
97;6;225.0;105;3121;16.5;73;1;18.0;18.28879343077749
85;8;350.0;175;4100;13.0;73;1;13.0;13.403535372668866
