;displacement;weight;acceleration;cylinders;horsepower;model year;origin;Y;abs_res;cluster
358;120.0;2635;18.3;4;74;81;3;31.6;3.3791650000000004;0
299;141.0;3190;24.8;4;71;79;2;27.2;2.9255759999999995;0
378;105.0;2125;14.7;4;63;82;1;38.0;4.339072999999999;0
327;121.0;2950;19.9;5;67;80;2;36.4;7.055948999999998;0
81;97.0;2288;17.0;4;92;72;3;28.0;3.6386220000000016;0
347;85.0;1975;19.4;4;65;81;3;37.0;3.1896479999999983;0
392;151.0;2950;17.3;4;90;82;1;27.0;2.3381539999999994;0
236;140.0;2755;15.8;4;89;77;1;25.5;2.890453000000001;0
221;305.0;3880;12.5;8;145;77;1;17.5;2.80462;1
322;86.0;2110;17.9;4;65;80;3;46.6;8.726140000000001;0
357;119.0;2615;14.8;4;100;81;3;32.9;4.679164999999998;0
250;318.0;3735;13.2;8;140;78;1;19.4;2.4903049999999993;1
356;108.0;2350;16.8;4;75;81;3;32.4;2.5841679999999982;0
216;98.0;2045;18.5;4;68;77;3;31.5;2.541056000000001;0
238;98.0;2075;15.9;4;83;77;1;33.5;4.322472000000001;0
164;231.0;3039;15.0;6;110;75;1;21.0;2.4897099999999988;1
101;198.0;2904;16.0;6;95;73;1;23.0;4.005579999999998;0
310;89.0;1968;18.8;4;60;80;3;38.1;2.3590870000000024;0
394;97.0;2130;24.6;4;52;82;2;44.0;6.5989099999999965;0
324;85.0;2110;19.2;4;65;80;3;40.8;3.100086999999995;0
30;140.0;2264;15.5;4;90;71;1;28.0;4.182473999999999;0
114;98.0;2265;15.5;4;90;73;2;26.0;3.449064;0
348;89.0;2050;17.3;4;62;81;3;37.7;3.7157000000000053;0
158;318.0;4498;14.5;8;150;75;1;16.0;2.5133069999999993;1
116;400.0;4278;9.5;8;230;73;1;16.0;2.5994010000000003;1
328;146.0;3250;21.8;4;67;80;2;30.0;2.428825;0
393;140.0;2790;15.6;4;86;82;1;27.0;2.1530099999999983;0
308;151.0;2556;13.2;4;90;79;1;33.5;7.3015599999999985;0
298;350.0;3900;17.4;8;125;79;1;23.0;4.6806930000000015;1
376;91.0;2025;18.2;4;68;82;3;37.0;3.6479;0
191;225.0;3233;15.4;6;100;76;1;22.0;4.106853000000001;1
198;91.0;1795;17.4;4;53;76;3;33.0;2.179366999999999;0
218;79.0;1825;18.6;4;58;77;2;36.0;4.972776;0
379;98.0;2125;17.3;4;70;82;1;36.0;2.4453770000000006;0
253;200.0;3155;18.2;6;95;78;1;20.5;2.140163000000001;1
181;91.0;1795;17.5;4;53;75;3;33.0;2.1501829999999984;0
